year,state_norm,district_norm,metric,value,state,district
2010,assam,nalbari,children,4.0,ASSAM,NALBARI
2010,assam,nalbari,ipc,14382.0,ASSAM,NALBARI
2010,assam,nalbari,women,201.0,ASSAM,NALBARI
2010,assam,r p o,children,0.0,ASSAM,R.P.O.
2010,assam,r p o,ipc,1016.0,ASSAM,R.P.O.
2010,assam,r p o,women,9.0,ASSAM,R.P.O.
2010,assam,sibsagar,children,0.0,ASSAM,SIBSAGAR
2010,assam,sibsagar,ipc,24118.0,ASSAM,SIBSAGAR
2010,assam,sibsagar,women,390.0,ASSAM,SIBSAGAR
2010,assam,sonitpur,children,34.0,ASSAM,SONITPUR
2010,assam,sonitpur,ipc,33647.0,ASSAM,SONITPUR
2010,assam,sonitpur,women,586.0,ASSAM,SONITPUR
2010,assam,tinsukia,children,28.0,ASSAM,TINSUKIA
2010,assam,tinsukia,ipc,23896.0,ASSAM,TINSUKIA
2010,assam,tinsukia,women,303.0,ASSAM,TINSUKIA
2010,assam,total,children,197.0,ASSAM,TOTAL
2010,assam,total,ipc,597764.0,ASSAM,TOTAL
2010,assam,total,women,11493.0,ASSAM,TOTAL
2010,assam,udalguri,children,0.0,ASSAM,UDALGURI
2010,assam,udalguri,ipc,6226.0,ASSAM,UDALGURI
2010,assam,udalguri,women,122.0,ASSAM,UDALGURI
2010,bihar,araria,children,12.0,BIHAR,ARARIA
2010,bihar,araria,ipc,28415.0,BIHAR,ARARIA
2010,bihar,araria,women,159.0,BIHAR,ARARIA
2010,bihar,arwal,children,11.0,BIHAR,ARWAL
2010,bihar,arwal,ipc,7673.0,BIHAR,ARWAL
2010,bihar,arwal,women,38.0,BIHAR,ARWAL
2010,bihar,aurangabad,children,42.0,BIHAR,AURANGABAD
2010,bihar,aurangabad,ipc,31944.0,BIHAR,AURANGABAD
2010,bihar,aurangabad,women,191.0,BIHAR,AURANGABAD
2010,bihar,bagaha,children,6.0,BIHAR,BAGAHA
2010,bihar,bagaha,ipc,16720.0,BIHAR,BAGAHA
2010,bihar,bagaha,women,121.0,BIHAR,BAGAHA
2010,bihar,banka,children,30.0,BIHAR,BANKA
2010,bihar,banka,ipc,19347.0,BIHAR,BANKA
2010,bihar,banka,women,110.0,BIHAR,BANKA
2010,bihar,begusarai,children,6.0,BIHAR,BEGUSARAI
2010,bihar,begusarai,ipc,38025.0,BIHAR,BEGUSARAI
2010,bihar,begusarai,women,158.0,BIHAR,BEGUSARAI
2010,bihar,bettiah,children,7.0,BIHAR,BETTIAH
2010,bihar,bettiah,ipc,42395.0,BIHAR,BETTIAH
2010,bihar,bettiah,women,196.0,BIHAR,BETTIAH
2010,bihar,bhabhua,children,6.0,BIHAR,BHABHUA
2010,bihar,bhabhua,ipc,19288.0,BIHAR,BHABHUA
2010,bihar,bhabhua,women,84.0,BIHAR,BHABHUA
2010,bihar,bhagalpur,children,129.0,BIHAR,BHAGALPUR
2010,bihar,bhagalpur,ipc,38436.0,BIHAR,BHAGALPUR
2010,bihar,bhagalpur,women,176.0,BIHAR,BHAGALPUR
2010,bihar,bhojpur,children,65.0,BIHAR,BHOJPUR
2010,bihar,bhojpur,ipc,40506.0,BIHAR,BHOJPUR
2010,bihar,bhojpur,women,304.0,BIHAR,BHOJPUR
2010,bihar,buxar,children,26.0,BIHAR,BUXAR
2010,bihar,buxar,ipc,22097.0,BIHAR,BUXAR
2010,bihar,buxar,women,125.0,BIHAR,BUXAR
2010,bihar,darbhanga,children,119.0,BIHAR,DARBHANGA
2010,bihar,darbhanga,ipc,45383.0,BIHAR,DARBHANGA
2010,bihar,darbhanga,women,349.0,BIHAR,DARBHANGA
2010,bihar,gaya,children,2.0,BIHAR,GAYA
2010,bihar,gaya,ipc,48235.0,BIHAR,GAYA
2010,bihar,gaya,women,246.0,BIHAR,GAYA
2010,bihar,gopalganj,children,78.0,BIHAR,GOPALGANJ
2010,bihar,gopalganj,ipc,31510.0,BIHAR,GOPALGANJ
2010,bihar,gopalganj,women,276.0,BIHAR,GOPALGANJ
2010,bihar,jamalpur rly,children,0.0,BIHAR,JAMALPUR RLY.
2010,bihar,jamalpur rly,ipc,2839.0,BIHAR,JAMALPUR RLY.
2010,bihar,jamalpur rly,women,6.0,BIHAR,JAMALPUR RLY.
2010,bihar,jamui,children,63.0,BIHAR,JAMUI
2010,bihar,jamui,ipc,18674.0,BIHAR,JAMUI
2010,bihar,jamui,women,147.0,BIHAR,JAMUI
2010,bihar,jehanabad,children,8.0,BIHAR,JEHANABAD
2010,bihar,jehanabad,ipc,17432.0,BIHAR,JEHANABAD
2010,bihar,jehanabad,women,92.0,BIHAR,JEHANABAD
2010,bihar,katihar,children,123.0,BIHAR,KATIHAR
2010,bihar,katihar,ipc,29828.0,BIHAR,KATIHAR
2010,bihar,katihar,women,226.0,BIHAR,KATIHAR
2010,bihar,katihar rly,children,0.0,BIHAR,KATIHAR RLY.
2010,bihar,katihar rly,ipc,5176.0,BIHAR,KATIHAR RLY.
2010,bihar,katihar rly,women,9.0,BIHAR,KATIHAR RLY.
2010,bihar,khagaria,children,24.0,BIHAR,KHAGARIA
2010,bihar,khagaria,ipc,19335.0,BIHAR,KHAGARIA
2010,bihar,khagaria,women,89.0,BIHAR,KHAGARIA
2010,bihar,kishanganj,children,25.0,BIHAR,KISHANGANJ
2010,bihar,kishanganj,ipc,13459.0,BIHAR,KISHANGANJ
2010,bihar,kishanganj,women,107.0,BIHAR,KISHANGANJ
2010,bihar,lakhisarai,children,13.0,BIHAR,LAKHISARAI
2010,bihar,lakhisarai,ipc,12557.0,BIHAR,LAKHISARAI
2010,bihar,lakhisarai,women,73.0,BIHAR,LAKHISARAI
2010,bihar,madhepura,children,55.0,BIHAR,MADHEPURA
2010,bihar,madhepura,ipc,17472.0,BIHAR,MADHEPURA
2010,bihar,madhepura,women,110.0,BIHAR,MADHEPURA
2010,bihar,madhubani,children,51.0,BIHAR,MADHUBANI
2010,bihar,madhubani,ipc,42083.0,BIHAR,MADHUBANI
2010,bihar,madhubani,women,289.0,BIHAR,MADHUBANI
2010,bihar,motihari,children,26.0,BIHAR,MOTIHARI
2010,bihar,motihari,ipc,60939.0,BIHAR,MOTIHARI
2010,bihar,motihari,women,233.0,BIHAR,MOTIHARI
2010,bihar,munger,children,66.0,BIHAR,MUNGER
2010,bihar,munger,ipc,22716.0,BIHAR,MUNGER
2010,bihar,munger,women,139.0,BIHAR,MUNGER
2010,bihar,muzaffarpur,children,155.0,BIHAR,MUZAFFARPUR
2010,bihar,muzaffarpur,ipc,69252.0,BIHAR,MUZAFFARPUR
2010,bihar,muzaffarpur,women,366.0,BIHAR,MUZAFFARPUR
2010,bihar,muzaffarpur rly,children,1.0,BIHAR,MUZAFFARPUR RLY.
2010,bihar,muzaffarpur rly,ipc,7113.0,BIHAR,MUZAFFARPUR RLY.
2010,bihar,muzaffarpur rly,women,3.0,BIHAR,MUZAFFARPUR RLY.
2010,bihar,nalanda,children,10.0,BIHAR,NALANDA
2010,bihar,nalanda,ipc,45663.0,BIHAR,NALANDA
